2016-04-23 22:44:43,505 [INFO  IM] - <BaseSocket.cpp>|<81>|<Listen>,CBaseSocket::Listen on 192.168.1.38:8200
2016-04-23 22:44:43,608 [INFO  IM] - <BaseSocket.cpp>|<329>|<_AcceptNewSocket>,AcceptNewSocket2, socket=7 from 192.168.1.38:47560

2016-04-23 22:44:43,608 [INFO  IM] - <RouteConn.cpp>|<119>|<HandlePdu>,CRouteConn::HandlePdu cmd id: 1799 
2016-04-23 22:44:43,608 [INFO  IM] - <RouteConn.cpp>|<248>|<_HandleRoleSet>,HandleRoleSet, master=1, handle=7 
2016-04-23 22:44:47,496 [INFO  IM] - <BaseSocket.cpp>|<329>|<_AcceptNewSocket>,AcceptNewSocket2, socket=8 from 192.168.1.38:47584

2016-04-23 22:44:47,496 [INFO  IM] - <RouteConn.cpp>|<119>|<HandlePdu>,CRouteConn::HandlePdu cmd id: 1799 
2016-04-23 22:44:47,496 [INFO  IM] - <RouteConn.cpp>|<248>|<_HandleRoleSet>,HandleRoleSet, master=1, handle=8 
2016-04-23 22:44:47,496 [INFO  IM] - <RouteConn.cpp>|<119>|<HandlePdu>,CRouteConn::HandlePdu cmd id: 1800 
2016-04-23 22:44:47,496 [INFO  IM] - <RouteConn.cpp>|<162>|<_HandleOnlineUserInfo>,HandleOnlineUserInfo, user_cnt=0 
2016-04-23 22:44:49,999 [INFO  IM] - <RouteConn.cpp>|<119>|<HandlePdu>,CRouteConn::HandlePdu cmd id: 1805 
2016-04-23 22:44:49,999 [INFO  IM] - <RouteConn.cpp>|<119>|<HandlePdu>,CRouteConn::HandlePdu cmd id: 1802 
2016-04-23 22:44:49,999 [INFO  IM] - <RouteConn.cpp>|<180>|<_HandleUserStatusUpdate>,HandleUserStatusUpdate, status=1, uid=2, client_type=18 
2016-04-23 22:44:57,120 [INFO  IM] - <RouteConn.cpp>|<119>|<HandlePdu>,CRouteConn::HandlePdu cmd id: 1802 
2016-04-23 22:44:57,120 [INFO  IM] - <RouteConn.cpp>|<180>|<_HandleUserStatusUpdate>,HandleUserStatusUpdate, status=2, uid=2, client_type=18 
